chr2:102725278-102726278,1000,[382],[542],[2.80614]
chr2:103103802-103104802,1000,[142],[769],[3.07231]
chr2:128648863-128649863,1000,[],[],[]
chr2:158250563-158251563,1000,[745],[738],[3.25772]
chr2:160095408-160096408,1000,[],[],[]
chr2:160097660-160098660,1000,[],[],[]
chr2:172618817-172619817,1000,[],[],[]
chr2:173313921-173314921,1000,[-1164],[1682],[3.80382]
chr2:187388667-187389667,1000,[-524],[339],[3.49727]
chr2:191811825-191812825,1000,[384],[2937],[6.35867]
chr2:201287390-201288390,1000,[],[],[]
chr2:20406798-20407798,1000,[-63],[4429],[5.17223]
chr2:20751968-20752968,1000,[-579],[294],[2.64045]
chr2:207978868-207979868,1000,[],[],[]
chr2:237480548-237481548,1000,[-218, 1331],[372, 2535],[2.99048, 3.98403]
chr2:23899637-23900637,1000,[],[],[]
chr2:238014473-238015473,1000,[],[],[]
chr2:238691954-238692954,1000,[],[],[]
chr2:238698160-238699160,1000,[],[],[]
chr2:238807535-238808535,1000,[-829],[2207],[5.34502]
chr2:238808514-238809514,1000,[],[],[]
chr2:240751211-240752211,1000,[820],[1763],[5.17948]
chr2:24321924-24322924,1000,[],[],[]
chr2:242700150-242701150,1000,[],[],[]
chr2:242701057-242702057,1000,[],[],[]
chr2:242701341-242702341,1000,[],[],[]
chr2:28651445-28652445,1000,[],[],[]
chr2:39338505-39339505,1000,[-72],[815],[3.13553]
chr2:40764700-40765700,1000,[],[],[]
chr2:42564834-42565834,1000,[],[],[]
chr2:44575244-44576244,1000,[-516],[2090],[4.35169]
chr2:46823139-46824139,1000,[],[],[]
chr2:46855086-46856086,1000,[],[],[]
chr2:54327832-54328832,1000,[],[],[]
chr2:62383812-62384812,1000,[],[],[]
chr2:65326212-65327212,1000,[-261, 503],[292, 332],[2.13801, 2.74775]
chr2:66802959-66803959,1000,[30],[4089],[6.2804]
chr2:69885981-69886981,1000,[],[],[]
chr2:72392715-72393715,1000,[],[],[]
chr2:74928192-74929192,1000,[],[],[]
chr2:74937008-74938008,1000,[],[],[]
chr2:91753122-91754122,1000,[],[],[]
chr2:95701753-95702753,1000,[],[],[]
chr2:91759908-91760908,1000,[],[],[]
chr2:91759973-91760973,1000,[],[],[]
chr2:3507296-3508296,1000,[],[],[]
chr2:11324925-11325925,1000,[],[],[]
chr2:11325725-11326725,1000,[],[],[]
chr2:13660937-13661937,1000,[452],[895],[2.97051]
chr2:14811235-14812235,1000,[],[],[]
chr2:15310579-15311579,1000,[-266],[867],[4.4031]
chr2:20405860-20406860,1000,[875],[4429],[5.17223]
chr2:20410470-20411470,1000,[-634, 381],[764, 634],[3.13553, 4.1257]
chr2:20412694-20413694,1000,[-286],[2236],[4.24272]
chr2:20415070-20416070,1000,[-655],[377],[2.6372]
chr2:20470565-20471565,1000,[],[],[]
