chr2:102727428-102728128,700,[355],[431],[2.4319]
chr2:103105952-103106652,700,[],[],[]
chr2:128651013-128651713,700,[],[],[]
chr2:158252713-158253413,700,[-148],[252],[2.46084]
chr2:160097558-160098258,700,[],[],[]
chr2:160099810-160100510,700,[],[],[]
chr2:172620967-172621667,700,[],[],[]
chr2:173316071-173316771,700,[],[],[]
chr2:187390817-187391517,700,[],[],[]
chr2:191813975-191814675,700,[],[],[]
chr2:201289540-201290240,700,[],[],[]
chr2:20408948-20409648,700,[-598, 52],[537, 253],[3.39854, 2.4614]
chr2:20754118-20754818,700,[],[],[]
chr2:207981018-207981718,700,[],[],[]
chr2:237482698-237483398,700,[457],[949],[3.18828]
chr2:23901787-23902487,700,[],[],[]
chr2:238016623-238017323,700,[],[],[]
chr2:238694104-238694804,700,[],[],[]
chr2:238700310-238701010,700,[],[],[]
chr2:238809685-238810385,700,[],[],[]
chr2:238810664-238811364,700,[],[],[]
chr2:240753361-240754061,700,[],[],[]
chr2:24324074-24324774,700,[],[],[]
chr2:242702300-242703000,700,[],[],[]
chr2:242703207-242703907,700,[],[],[]
chr2:242703491-242704191,700,[],[],[]
chr2:28653595-28654295,700,[],[],[]
chr2:39340655-39341355,700,[],[],[]
chr2:40766850-40767550,700,[],[],[]
chr2:42566984-42567684,700,[],[],[]
chr2:44577394-44578094,700,[333],[386],[2.81027]
chr2:46825289-46825989,700,[],[],[]
chr2:46857236-46857936,700,[],[],[]
chr2:54329982-54330682,700,[],[],[]
chr2:62385962-62386662,700,[],[],[]
chr2:65328362-65329062,700,[],[],[]
chr2:66805109-66805809,700,[],[],[]
chr2:69888131-69888831,700,[],[],[]
chr2:72394865-72395565,700,[],[],[]
chr2:74930342-74931042,700,[],[],[]
chr2:74939158-74939858,700,[],[],[]
chr2:91755272-91755972,700,[],[],[]
chr2:95703903-95704603,700,[],[],[]
chr2:91762058-91762758,700,[],[],[]
chr2:91762123-91762823,700,[],[],[]
chr2:3509446-3510146,700,[],[],[]
chr2:11327075-11327775,700,[],[],[]
chr2:11327875-11328575,700,[],[],[]
chr2:13663087-13663787,700,[],[],[]
chr2:14813385-14814085,700,[],[],[]
chr2:15312729-15313429,700,[],[],[]
chr2:20408010-20408710,700,[-1053, 340],[2078, 537],[3.2614, 3.39854]
chr2:20412620-20413320,700,[-130],[1454],[2.87509]
chr2:20414844-20415544,700,[-57],[437],[2.20838]
chr2:20417220-20417920,700,[],[],[]
chr2:20472715-20473415,700,[],[],[]
chr2:20801522-20802222,700,[],[],[]
chr2:20810909-20811609,700,[-418, 269],[670, 515],[3.06381, 3.60113]
chr2:20812709-20813409,700,[-129, 3539],[386, 6404],[3.11756, 6.98495]
chr2:23935219-23935919,700,[],[],[]
chr2:26284228-26284928,700,[],[],[]
chr2:26287639-26288339,700,[33],[335],[2.10109]
chr2:26291318-26292018,700,[-506, 293],[720, 444],[3.35639, 4.78698]
chr2:28542217-28542917,700,[-654],[931],[3.22272]
chr2:28544116-28544816,700,[-261],[364],[2.73387]
chr2:28545826-28546526,700,[],[],[]
chr2:28556516-28557216,700,[275],[372],[1.89455]
chr2:29175094-29175794,700,[-656],[1122],[3.02429]
chr2:30824089-30824789,700,[],[],[]
chr2:31004692-31005392,700,[],[],[]
chr2:32062218-32062918,700,[],[],[]
chr2:33141141-33141841,700,[],[],[]
chr2:36767997-36768697,700,[],[],[]
chr2:38414791-38415491,700,[],[],[]
chr2:39706697-39707397,700,[],[],[]
chr2:39708690-39709390,700,[],[],[]
chr2:39711290-39711990,700,[],[],[]
chr2:39711890-39712590,700,[],[],[]
chr2:39713090-39713790,700,[],[],[]
chr2:39715090-39715790,700,[],[],[]
chr2:39719190-39719890,700,[-436, 522],[313, 534],[2.6355, 1.90081]
chr2:39721890-39722590,700,[-34],[676],[2.59054]
chr2:39724393-39725093,700,[],[],[]
chr2:39727590-39728290,700,[-1003],[1493],[3.40726]
chr2:42568229-42568929,700,[131],[307],[1.97688]
chr2:42569389-42570089,700,[-353, 472],[758, 618],[3.55778, 3.54111]
chr2:43294887-43295587,700,[],[],[]
chr2:44578189-44578889,700,[-462, 104],[386, 517],[2.81027, 2.79614]
chr2:46528888-46529588,700,[372],[288],[2.9287]
chr2:46578888-46579588,700,[],[],[]
chr2:46859342-46860042,700,[],[],[]
chr2:46861927-46862627,700,[],[],[]
chr2:46869776-46870476,700,[],[],[]
chr2:46870505-46871205,700,[],[],[]
chr2:46870942-46871642,700,[],[],[]
chr2:46880492-46881192,700,[],[],[]
chr2:46882987-46883687,700,[-39],[903],[3.07492]
chr2:46883889-46884589,700,[-160],[290],[2.66581]
chr2:48814637-48815337,700,[],[],[]
chr2:48832761-48833461,700,[],[],[]
chr2:54329188-54329888,700,[],[],[]
chr2:54330687-54331387,700,[89],[329],[3.11616]
chr2:54333986-54334686,700,[],[],[]
chr2:56184163-56184863,700,[],[],[]
chr2:56185407-56186107,700,[],[],[]
chr2:62369011-62369711,700,[],[],[]
chr2:62378967-62379667,700,[],[],[]
chr2:63780043-63780743,700,[],[],[]
chr2:66782681-66783381,700,[-118],[955],[3.61156]
chr2:66805881-66806581,700,[],[],[]
chr2:69163397-69164097,700,[],[],[]
chr2:69163986-69164686,700,[],[],[]
chr2:69164660-69165360,700,[],[],[]
chr2:69981682-69982382,700,[-1216],[3348],[4.2824]
chr2:69989782-69990482,700,[208],[326],[2.51584]
chr2:69991481-69992181,700,[],[],[]
chr2:69997982-69998682,700,[-348],[621],[3.11756]
chr2:70154054-70154754,700,[],[],[]
chr2:70496564-70497264,700,[],[],[]
chr2:71310679-71311379,700,[],[],[]
chr2:71612057-71612757,700,[],[],[]
chr2:73973586-73974286,700,[],[],[]
chr2:73982174-73982874,700,[],[],[]
chr2:74917555-74918255,700,[],[],[]
chr2:74935833-74936533,700,[],[],[]
chr2:75503791-75504491,700,[],[],[]
chr2:85610189-85610889,700,[],[],[]
chr2:85995446-85996146,700,[1328],[4602],[6.58758]
chr2:86019473-86020173,700,[918],[2785],[2.65583]
chr2:86725781-86726481,700,[],[],[]
chr2:86783520-86784220,700,[-366],[400],[1.97697]
chr2:88062289-88062989,700,[],[],[]
chr2:88062968-88063668,700,[],[],[]
chr2:88064520-88065220,700,[],[],[]
chr2:88399135-88399835,700,[],[],[]
chr2:88490185-88490885,700,[],[],[]
chr2:88490837-88491537,700,[],[],[]
chr2:88979767-88980467,700,[-21],[307],[2.91123]
chr2:89165461-89166161,700,[],[],[]
chr2:91757689-91758389,700,[],[],[]
chr2:95678597-95679297,700,[],[],[]
chr2:95933452-95934152,700,[],[],[]
chr2:97207016-97207716,700,[194],[398],[2.69569]
chr2:100098111-100098811,700,[136],[454],[2.5966]
chr2:100101611-100102311,700,[],[],[]
chr2:101916911-101917611,700,[-4],[685],[2.63699]
chr2:102726693-102727393,700,[-496],[611],[3.07446]
