chr1:1059491-1060091,600,[241],[225],[2.73288]
chr1:1061927-1062527,600,[],[],[]
chr1:1065948-1066548,600,[],[],[]
chr1:1067225-1067825,600,[],[],[]
chr1:12672270-12672870,600,[-659],[1453],[6.20924]
chr1:19979593-19980193,600,[739],[1309],[3.97432]
chr1:29505612-29506212,600,[-446, 44, 517],[384, 201, 654],[2.32818, 2.64566, 3.71939]
chr1:31893283-31893883,600,[],[],[]
chr1:32030801-32031401,600,[],[],[]
chr1:33969073-33969673,600,[],[],[]
chr1:53146383-53146983,600,[],[],[]
chr1:56957052-56957652,600,[],[],[]
chr1:68561116-68561716,600,[],[],[]
chr1:84753470-84754070,600,[],[],[]
chr1:94246755-94247355,600,[],[],[]
chr1:95351356-95351956,600,[],[],[]
chr1:100171456-100172056,600,[],[],[]
chr1:114052668-114053268,600,[],[],[]
chr1:114236390-114236990,600,[],[],[]
chr1:117030747-117031347,600,[],[],[]
chr1:118383270-118383870,600,[],[],[]
chr1:119703332-119703932,600,[],[],[]
chr1:119704864-119705464,600,[],[],[]
chr1:144605293-144605893,600,[],[],[]
chr1:144606215-144606815,600,[],[],[]
chr1:144607565-144608165,600,[],[],[]
chr1:144837678-144838278,600,[],[],[]
chr1:144931062-144931662,600,[-463],[1000],[5.25066]
chr1:144935633-144936233,600,[],[],[]
chr1:16923965-16924565,600,[],[],[]
chr1:149678404-149679004,600,[],[],[]
chr1:149666194-149666794,600,[],[],[]
chr15:75868982-75869582,600,[412],[275],[2.68485]
chr1:147919699-147920299,600,[],[],[]
chr1:145008195-145008795,600,[],[],[]
chr1:145005958-145006558,600,[],[],[]
chr1:145004697-145005297,600,[],[],[]
chr1:144980213-144980813,600,[],[],[]
chr1:150609354-150609954,600,[],[],[]
chr1:151832398-151832998,600,[],[],[]
chr1:155437991-155438591,600,[],[],[]
chr1:155444051-155444651,600,[],[],[]
chr1:155541715-155542315,600,[],[],[]
chr1:160961626-160962226,600,[],[],[]
chr1:169088561-169089161,600,[],[],[]
chr1:169090538-169091138,600,[],[],[]
chr1:193231178-193231778,600,[],[],[]
chr1:193231801-193232401,600,[],[],[]
chr1:193235249-193235849,600,[],[],[]
chr1:206276350-206276950,600,[],[],[]
chr1:206276133-206276733,600,[],[],[]
chr1:206274931-206275531,600,[],[],[]
chr1:207521577-207522177,600,[],[],[]
chr1:221984351-221984951,600,[],[],[]
chr1:221985506-221986106,600,[],[],[]
chr1:222932742-222933342,600,[],[],[]
chr1:223265092-223265692,600,[],[],[]
chr1:223278142-223278742,600,[],[],[]
chr1:224647502-224648102,600,[],[],[]
chr1:233841600-233842200,600,[],[],[]
chr1:233844946-233845546,600,[],[],[]
chr1:243658702-243659302,600,[],[],[]
chr10:3851092-3851692,600,[-446],[317],[4.86107]
chr10:5527893-5528493,600,[],[],[]
chr10:5647455-5648055,600,[],[],[]
chr10:22724629-22725229,600,[-325],[211],[3.65076]
chr10:22728029-22728629,600,[],[],[]
chr10:29720693-29721293,600,[],[],[]
chr10:32177507-32178107,600,[-503],[628],[4.82617]
chr10:43898748-43899348,600,[-1101],[3145],[8.61103]
chr10:45931199-45931799,600,[],[],[]
chr10:47094980-47095580,600,[],[],[]
